Tweet,Author ID,Date,cleaned_text,sentiment
"Bast stock group ♥️♥️
Discord👌👌

https://t.co/ONFlmmqsjS

$SOLO $W $JAGX $INO  $BYFC $TSLA $SPY $BOXL $AAPL $AYRO $BNGO $PHUN $KODK https://t.co/Vg2km4Wdk9",126792470,2024-12-30 10:45:15+00:00,bast stock group discord solo w jagx ino byfc tsla spy boxl aapl ayro bngo phun kodk,-0.4019
"Best stock trade Group out there! 
Free chatroom link below! https://t.co/WUfz59GZw8

$AMZN $AMC $SPY $QQQ $ATH $CCL $AMD $AAPL $MSFY $BA https://t.co/lCvgCtGa7q",1838722759297503236,2024-12-30 10:45:04+00:00,best stock trade group free chatroom link amzn amc spy qqq ath ccl amd aapl msfy ba,0.8176
"Over 80k+ people. Join now
Discord group👇

https://t.co/WUfz59GZw8

$CGM $APT $JAKK $DYNT $SPV $LMND $SPY $BOXL $AAPL $AYRO $BNGO $PHUN https://t.co/ClskM4l2ET",1838722759297503236,2024-12-30 10:44:26+00:00,80k people join discord group cgm apt jakk dynt spv lmnd spy boxl aapl ayro bngo phun,-0.128
"Check out our subscriber alerts in our DISCORD. 

https://t.co/WUfz59GZw8

$BABA $JFK $CEMI $SPY $SHOP $AMZN $NVDA $ROKU $EBAY $AMD $TSLA $AAPL https://t.co/nmichxEfHk",1838722759297503236,2024-12-30 10:43:52+00:00,check subscriber alert discord baba jfk cemi spy shop amzn nvda roku ebay amd tsla aapl,-0.128
"$aapl is set and ready for a run up 📈🚀
https://t.co/AM0LipmeRO",1664957798629920769,2024-12-30 10:43:09+00:00,aapl set ready run,0.3612
"Entries &amp; exits! 
Free Chatroom link below 
https://t.co/ONFlmmqsjS

$SPY $TSLA $SOLO  $BIOC $ABUS $GNUS $ROYT $AIM $AAPL https://t.co/ASMkTBX4Si",126792470,2024-12-30 10:42:58+00:00,entry amp exit free chatroom link spy tsla solo bioc abus gnu royt aim aapl,0.5106
"Check out our discord group 
for trading Chatroom/community 
https://t.co/WUfz59GZw8
☝️
📊📈
$EDSA
$KODK
$DOW
$GNUS
$IDEX
$BSBS
$TSLA
$TAOP
$JFK
$CEMI
$SPY
$SHOP
$AMZN 
$NVDA
$ROKU
$EBAY
$AMD
$AAPL https://t.co/upru34aOIm",1838722759297503236,2024-12-30 10:42:44+00:00,check discord group trading chatroomcommunity edsa kodk dow gnu idex bsbs tsla taop jfk cemi spy shop amzn nvda roku ebay amd aapl,-0.4019
"CAUT1ON : Inauguration Day Stock Index Pump1ng Detected.
#SP500 $QQQ $IWM $NVDA $TSLA $AAPL $MSFT #XJO",74408465,2024-12-30 10:42:29+00:00,caut1on inauguration day stock index pump1ng detected qqq iwm nvda tsla aapl msft,0.0
"Alerts 💰
Update 📈📉
Watchlist,💹💸
Discord 👇👇
 
https://t.co/ONFlmmqsjS

$AAL $NAKD $DYNT $SPY $BOXL $AAPL $AYRO $ACHV $ABUS $TLRY https://t.co/hiSyr66pLs",126792470,2024-12-30 10:41:40+00:00,alert update watchlist discord aal nakd dynt spy boxl aapl ayro achv abus tlry,-0.128
"$KNDI $SQ $SPY $NFLX $M $DIS $IBIO $HPTY $NIO $NKLA $AAPL
Alerts before spikes and right as big news drops
Free discord chatroom :https://t.co/ONFlmmqsjS https://t.co/x2pLPYSYPL",126792470,2024-12-30 10:40:37+00:00,kndi sq spy nflx dis ibio hpty nio nkla aapl alert spike right big news drop free discord chatroom,0.1779
"Free Stock trading discord:https://t.co/ONFlmmqsjS

$GE $AAL $DIS $DAL $AAPL $MSFT $TSLA $SQ $NFLX $SPY $ROKU $SPCE $INO $UVXY $VXX $RAD https://t.co/aZ9W04HlLQ",126792470,2024-12-30 10:40:04+00:00,free stock trading discord ge aal dis dal aapl msft tsla sq nflx spy roku spce ino uvxy vxx rad,0.1531
"Entries &amp; exits Daily! ⏳

Discord link
📌
https://t.co/WUfz59GZw8
📊💡

$SOLO $W $JAGX $INO  $BYFC $TSLA $SPY $BOXL $AAPL $AYRO $BNGO $PHUN https://t.co/s8QFNH9Vvo",1838722759297503236,2024-12-30 10:39:55+00:00,entry amp exit daily discord link solo w jagx ino byfc tsla spy boxl aapl ayro bngo phun,-0.4019
"Alerts given
Trading Chat on Discord!👇
https://t.co/ONFlmmqsjS
JOIN for FREE ✅

💸
$SPY $QQQ $AMZN $NVDA $BA $TSLA $BABA $AMD $AAPL $NFLX $TWTR $AAL https://t.co/4ogG8Nm2u0",126792470,2024-12-30 10:39:27+00:00,alert given trading chat discord join free spy qqq amzn nvda ba tsla baba amd aapl nflx twtr aal,0.6124
"$CEMI $SPY $TSLA $SHOP $AMZN $NVDA $ROKU $EBAY $AMD $BB $DAL $DOW $KODK $AAPL $ESE $SPCE $FCEL $TRIP $BYND
Most profitable trading COMMUNITY https://t.co/WUfz59GZw8 https://t.co/oFn0M32zsw",1838722759297503236,2024-12-30 10:39:14+00:00,cemi spy tsla shop amzn nvda roku ebay amd bb dal dow kodk aapl ese spce fcel trip bynd profitable trading community,0.4404
$aapl &gt;&gt;&gt; iphone 16,107379959,2024-12-30 10:38:38+00:00,aapl gtgtgt iphone 16,0.0
"Alerts
Update 
Watchlist
Discord chatroom
https://t.co/ONFlmmqsjS
❤️
Stocks, Options,Forex

$AAL $NAKD $DYNT $INO $GNUS $UAVS $INO  $BYFC $TSLA $SPY $BOXL $AAPL $AYRO $ACHV https://t.co/sC8ll8GyMW",126792470,2024-12-30 10:38:08+00:00,alert update watchlist discord chatroom stock optionsforex aal nakd dynt ino gnu uavs ino byfc tsla spy boxl aapl ayro achv,-0.128
"$DSA $KODK $DOW  $TSLA $SHOP $AMZN $NVDA $ROKU $EBAY $AMD $BB $DAL $DOW $KODK $AAPL $ESE $GMBL $META 

options alerts 90% success rate 🙏🙏https://t.co/ONFlmmqsjS https://t.co/xOe9LtaVuI",126792470,2024-12-30 10:35:45+00:00,dsa kodk dow tsla shop amzn nvda roku ebay amd bb dal dow kodk aapl ese gmbl meta option alert 90 success rate,0.7096
